(234, 235, -5961) 
(235, 62, -6507) 
(236, 421, -6331) 
(237, 268, -6651) 
(238, 275, -7472) 
(239, 238, -9874) 
(240, 19, -4667) 
(241, 444, -6059) 
(242, 241, -8966) 
(243, 460, -7045) 
(244, 218, -8687) 
(245, 244, -9103) 
(246, 336, -6729) 
(247, 164, -2548) 
(248, 165, -7477) 
(249, 458, -6860) 
(250, 462, -5069) 
(251, 449, -7320) 
(252, 198, -6392) 
(253, 436, -5911) 
(254, 255, -8096) 
(255, 298, -6885) 
(256, 345, -5305) 
(257, 448, -9484) 
(258, 340, -7890) 
(259, 122, -7997) 
(260, 267, -9134) 
(261, 151, -7835) 
(262, 263, -2202) 
(263, 233, -8107) 
(264, 212, -7012) 
(265, 264, -8596) 
(266, 196, -6390) 
(267, 464, -7760) 
(268, 267, -8907) 
(269, 138, -9121) 
(270, 325, -6345) 
(271, 439, -5855) 
(272, 103, -7824) 
(273, 274, -7658) 
(274, 275, -4649) 
(275, 16, -7206) 
(276, 432, -7970) 
(277, 233, -7785) 
(278, 277, -6763) 
(279, 280, -9809) 
(280, 254, -8438) 
(281, 282, -8850) 
(282, 283, -9803) 
(283, 398, -7542) 
(284, 354, -9097) 
(285, 366, -9502) 
(286, 212, -9917) 
(287, 286, -9632) 
(288, 287, -9903) 
(289, 288, -5683) 
(290, 467, -4613) 
(291, 100, -7435) 
(292, 36, -6348) 
(293, 343, -8657) 
(294, 449, -7189) 
(295, 132, -4924) 
(296, 491, -7492) 
(297, 289, -5802) 
(298, 441, -5427) 
(299, 412, -6638) 
(300, 344, -8409) 
(301, 499, -7760) 
(302, 69, -4544) 
(303, 302, -3618) 
(304, 45, -9980) 
(305, 122, -7289) 
(306, 253, -952) 
(307, 340, -8967) 
(308, 83, -7277) 
(309, 2, -7230) 
(310, 431, -7614) 
(311, 310, -8711) 
(312, 167, -6573) 
(313, 470, -9447) 
(314, 477, -6120) 
(315, 230, -9532) 
(316, 317, -7213) 
(317, 453, -9333) 
(318, 319, -5649) 
(319, 220, -5456) 
(320, 357, -4449) 
(321, 416, -8708) 
(322, 131, -8494) 
(323, 398, -9158) 
(324, 30, -9689) 
(325, 249, -5814) 
(326, 277, -2266) 
(327, 453, -8709) 
(328, 19, -8231) 
(329, 498, -9021) 
(330, 329, -9595) 
(331, 232, -1972) 
(332, 352, -7936) 
(333, 32, -5050) 
(334, 411, -5706) 
(335, 159, -8205) 
(336, 40, -7189) 
(337, 383, -6903) 
(338, 382, -8645) 
(339, 338, -9443) 
(340, 83, -8417) 
(341, 310, -9066) 
(342, 67, -9488) 
(343, 397, -7570) 
(344, 453, -8302) 
(345, 425, -5731) 
(346, 309, -9056) 
(347, 468, -4049) 
(348, 118, -7076) 
(349, 282, -9869) 
(350, 351, -4579) 
(351, 264, -5652) 
(352, 103, -8013) 
(353, 45, -6425) 
(354, 307, -7654) 
(355, 420, -8857) 
(356, 344, -7281) 
(357, 321, -7452) 
(358, 359, -4330) 
(359, 185, -6637) 
(360, 489, -9515) 
(361, 360, -5118) 
(362, 363, -5503) 
(363, 85, -7094) 
(364, 4, -8897) 
(365, 366, -9219) 
(366, 454, -9405) 
(367, 19, -5912) 
(368, 474, -7991) 
(369, 368, -8888) 
(370, 420, -9950) 
(371, 398, -9477) 
(372, 171, -6686) 
(373, 470, -8502) 
(374, 203, -6327) 
(375, 374, -7986) 
(376, 32, -5448) 
(377, 376, -2445) 
(378, 106, -5125) 
(379, 378, -2951) 
(380, 367, -5349) 
(381, 380, -5578) 
(382, 366, -6765) 
(383, 382, -5091) 
(384, 442, -9312) 
(385, 386, -4429) 
(386, 228, -9013) 
(387, 102, -9849) 
(388, 97, -7687) 
(389, 308, -8415) 
(390, 10, -8598) 
(391, 239, -9266) 
(392, 393, -8912) 
(393, 126, -6017) 
(394, 169, -4660) 
(395, 358, -6761) 
(396, 397, -1734) 
(397, 1, -5942) 
(398, 476, -8221) 
(399, 398, -8532) 
(400, 433, -6294) 
(401, 126, -8102) 
(402, 403, -2763) 
(403, 59, -5780) 
(404, 77, -3515) 
(405, 164, -4926) 
(406, 203, -9424) 
(407, 329, -5566) 
(408, 267, -7695) 
(409, 92, -8102) 
(410, 493, -7145) 
(411, 389, -7853) 
(412, 128, -9322) 
(413, 235, -8868) 
(414, 152, -10000) 
(415, 414, -2987) 
(416, 7, -5246) 
(417, 416, -5636) 
(418, 298, -9505) 
(419, 141, -3743) 
(420, 325, -4767) 
(421, 422, -7189) 
(422, 469, -8414) 
(423, 422, -4343) 
(424, 399, -4886) 
(425, 426, -8875) 
(426, 365, -6930) 
(427, 376, -7114) 
(428, 173, -8093) 
(429, 141, -1127) 
(430, 431, -7532) 
(431, 138, -8652) 
(432, 366, -9909) 
(433, 482, -5668) 
(434, 433, -8966) 
(435, 421, -8158) 
(436, 435, -7818) 
(437, 291, -8494) 
(438, 246, -3820) 
(439, 440, -7217) 
(440, 255, -8229) 
(441, 442, -9851) 
(442, 443, -7558) 
(443, 211, -7502) 
(444, 443, -8151) 
(445, 83, -6696) 
(446, 445, -9813) 
(447, 94, -8934) 
(448, 447, -9184) 
(449, 169, -7246) 
(450, 398, -9491) 
(451, 333, -5301) 
(452, 193, -9490) 
(453, 88, -8693) 
(454, 442, -7877) 
(455, 314, -9700) 
(456, 34, -5727) 
(457, 458, -3644) 
(458, 459, -9068) 
(459, 360, -6735) 
(460, 492, -5705) 
(461, 336, -8129) 
(462, 461, -9989) 
(463, 292, -5174) 
(464, 475, -9291) 
(465, 130, -5821) 
(466, 356, -8140) 
(467, 204, -8510) 
(468, 469, -3667) 
(469, 283, -9907) 
(470, 469, -8102) 
(471, 472, -5564) 
(472, 473, -9211) 
(473, 463, -5410) 
(474, 312, -8920) 
(475, 474, -7052) 
(476, 276, -9556) 
(477, 88, -6582) 
(478, 193, -4892) 
(479, 260, -7629) 
(480, 401, -8775) 
(481, 398, -9932) 
(482, 248, -6116) 
(483, 482, -9453) 
(484, 49, -6785) 
(485, 97, -9789) 
(486, 156, -8359) 
(487, 313, -320) 
(488, 343, -6842) 
(489, 454, -9298) 
(490, 489, -9312) 
(491, 137, -7463) 
(492, 375, -6444) 
(493, 492, -4854) 
(494, 298, -4071) 
(495, 300, -8315) 
(496, 272, -7845) 
(497, 452, -8325) 
(498, 153, -6845) 
(499, 498, -6861) 
(500, 286, -6235) 
the sum is:  -3612829.000000
